time[d],date,hour,debug1,debug2,debug3,debug4,debug5
13141,1996-09-23,00:00:00.00,0.331291,0,0,0,582.358
13142,1996-09-24,00:00:00.00,0.331291,0,0,0,582.358
13143,1996-09-25,00:00:00.00,0.331291,0,0,0,582.358
13144,1996-09-26,00:00:00.00,0.331291,0,0,0,582.358
13145,1996-09-27,00:00:00.00,0.331291,0,0,0,582.358
13146,1996-09-28,00:00:00.00,0.331291,0,0,0,582.358
13147,1996-09-29,00:00:00.00,0.331291,0,0,0,582.358
13148,1996-09-30,00:00:00.00,0.331291,0,0,0,582.358
13149,1996-10-01,00:00:00.00,0.331291,0,0,0,582.358
13150,1996-10-02,00:00:00.00,0.331291,0,0,0,582.358
13151,1996-10-03,00:00:00.00,0.331291,0,0,0,582.358
13152,1996-10-04,00:00:00.00,0.331291,0,0,0,582.358
13153,1996-10-05,00:00:00.00,0.480478,0,0,0,582.358
13154,1996-10-06,00:00:00.00,0.331291,0,0,0,582.358
13155,1996-10-07,00:00:00.00,0.331291,0,0,0,582.358
13156,1996-10-08,00:00:00.00,0.331291,0,0,0,582.358
13157,1996-10-09,00:00:00.00,0.331291,0,0,0,582.358
13158,1996-10-10,00:00:00.00,0.331291,0,0,0,582.358
13159,1996-10-11,00:00:00.00,0.331291,0,0,0,582.358
13160,1996-10-12,00:00:00.00,0.331291,0,0,0,582.358
13161,1996-10-13,00:00:00.00,0.331291,0,0,0,582.358
13162,1996-10-14,00:00:00.00,0.380507,0,0,0,582.358
13163,1996-10-15,00:00:00.00,0.453255,0,0,0,582.358
13164,1996-10-16,00:00:00.00,0.331291,0,0,0,582.358
13165,1996-10-17,00:00:00.00,0.331291,0,0,0,582.358
13166,1996-10-18,00:00:00.00,0.331291,0,0,0,582.358
13167,1996-10-19,00:00:00.00,0.331291,0,0,0,582.358
13168,1996-10-20,00:00:00.00,0.331291,0,0,0,582.358
13169,1996-10-21,00:00:00.00,0.331291,0,0,0,582.358
13170,1996-10-22,00:00:00.00,0.331291,0,0,0,582.358
13171,1996-10-23,00:00:00.00,0.331291,0,0,0,582.358
13172,1996-10-24,00:00:00.00,0.331291,0,0,0,582.358
13173,1996-10-25,00:00:00.00,0.331291,0,0,0,582.358
13174,1996-10-26,00:00:00.00,0.331291,0,0,0,582.358
13175,1996-10-27,00:00:00.00,0.331291,0,0,0,582.358
13176,1996-10-28,00:00:00.00,0.331291,0,0,0,582.358
13177,1996-10-29,00:00:00.00,0.469525,0,0,0,582.358
13178,1996-10-30,00:00:00.00,0.331291,0,0,0,582.358
13179,1996-10-31,00:00:00.00,0.331291,0,0,0,582.358
13180,1996-11-01,00:00:00.00,0.331291,0,0,0,582.358
13181,1996-11-02,00:00:00.00,0.331291,0,0,0,582.358
13182,1996-11-03,00:00:00.00,0.331291,0,0,0,582.358
13183,1996-11-04,00:00:00.00,0.331291,0,0,0,582.358
13184,1996-11-05,00:00:00.00,0.331291,0,0,0,582.358
13185,1996-11-06,00:00:00.00,0.331291,0,0,0,582.358
13186,1996-11-07,00:00:00.00,0.331291,0,0,0,582.358
13187,1996-11-08,00:00:00.00,0.331291,0,0,0,582.358
13188,1996-11-09,00:00:00.00,0.331291,0,0,0,582.358
13189,1996-11-10,00:00:00.00,0.331291,0,0,0,582.358
13190,1996-11-11,00:00:00.00,0.331291,0,0,0,582.358
13191,1996-11-12,00:00:00.00,0.331291,0,0,0,582.358
13192,1996-11-13,00:00:00.00,0.462546,0,0,0,582.358
13193,1996-11-14,00:00:00.00,0.345394,0,0,0,582.358
13194,1996-11-15,00:00:00.00,0.331291,0,0,0,582.358
13195,1996-11-16,00:00:00.00,0.331291,0,0,0,582.358
13196,1996-11-17,00:00:00.00,0.331291,0,0,0,582.358
13197,1996-11-18,00:00:00.00,0.331291,0,0,0,582.358
13198,1996-11-19,00:00:00.00,0.331291,0,0,0,582.358
13199,1996-11-20,00:00:00.00,0.331291,0,0,0,582.358
13200,1996-11-21,00:00:00.00,0.331291,0,0,0,582.358
13201,1996-11-22,00:00:00.00,0.331291,0,0,0,582.358
13202,1996-11-23,00:00:00.00,0.331291,0,0,0,582.358
13203,1996-11-24,00:00:00.00,0.331291,0,0,0,582.358
13204,1996-11-25,00:00:00.00,0.331291,0,0,0,582.358
13205,1996-11-26,00:00:00.00,0.331291,0,0,0,582.358
13206,1996-11-27,00:00:00.00,0.331291,0,0,0,582.358
13207,1996-11-28,00:00:00.00,0.331291,0,0,0,582.358
13208,1996-11-29,00:00:00.00,0.331291,0,0,0,582.358
13209,1996-11-30,00:00:00.00,0.331291,0,0,0,582.358
13210,1996-12-01,00:00:00.00,0.331291,0,0,0,582.358
13211,1996-12-02,00:00:00.00,0.331291,0,0,0,582.358
13212,1996-12-03,00:00:00.00,0.331291,0,0,0,582.358
13213,1996-12-04,00:00:00.00,0.331291,0,0,0,582.358
13214,1996-12-05,00:00:00.00,0.331291,0,0,0,582.358
13215,1996-12-06,00:00:00.00,0.331291,0,0,0,582.358
13216,1996-12-07,00:00:00.00,0.331291,0,0,0,582.358
13217,1996-12-08,00:00:00.00,0.331291,0,0,0,582.358
13218,1996-12-09,00:00:00.00,0.331291,0,0,0,582.358
13219,1996-12-10,00:00:00.00,0.331291,0,0,0,582.358
13220,1996-12-11,00:00:00.00,0.331291,0,0,0,582.358
13221,1996-12-12,00:00:00.00,0.331291,0,0,0,582.358
13222,1996-12-13,00:00:00.00,0.331291,0,0,0,582.358
13223,1996-12-14,00:00:00.00,0.331291,0,0,0,582.358
13224,1996-12-15,00:00:00.00,0.331291,0,0,0,582.358
13225,1996-12-16,00:00:00.00,0.331291,0,0,0,582.358
13226,1996-12-17,00:00:00.00,0.331291,0,0,0,582.358
13227,1996-12-18,00:00:00.00,0.331291,0,0,0,582.358
13228,1996-12-19,00:00:00.00,0.331291,0,0,0,582.358
13229,1996-12-20,00:00:00.00,0.331291,0,0,0,582.358
13230,1996-12-21,00:00:00.00,0.331291,0,0,0,582.358
13231,1996-12-22,00:00:00.00,0.331291,0,0,0,582.358
13232,1996-12-23,00:00:00.00,0.331291,0,0,0,582.358
13233,1996-12-24,00:00:00.00,0.331291,0,0,0,582.358
13234,1996-12-25,00:00:00.00,0.331291,0,0,0,582.358
13235,1996-12-26,00:00:00.00,0.331291,0,0,0,582.358
13236,1996-12-27,00:00:00.00,0.331291,0,0,0,582.358
13237,1996-12-28,00:00:00.00,0.331291,0,0,0,582.358
13238,1996-12-29,00:00:00.00,0.331291,0,0,0,582.358
13239,1996-12-30,00:00:00.00,0.331291,0,0,0,582.358
13240,1996-12-31,00:00:00.00,0.331291,0,0,0,582.358
13241,1997-01-01,00:00:00.00,0.331291,0,0,0,582.358
13242,1997-01-02,00:00:00.00,0.331291,0,0,0,582.358
13243,1997-01-03,00:00:00.00,0.331291,0,0,0,582.358
13244,1997-01-04,00:00:00.00,0.331291,0,0,0,582.358
13245,1997-01-05,00:00:00.00,0.331291,0,0,0,582.358
13246,1997-01-06,00:00:00.00,0.331291,0,0,0,582.358
13247,1997-01-07,00:00:00.00,0.331291,0,0,0,582.358
13248,1997-01-08,00:00:00.00,0.331291,0,0,0,582.358
13249,1997-01-09,00:00:00.00,0.331291,0,0,0,582.358
13250,1997-01-10,00:00:00.00,0.331291,0,0,0,582.358
13251,1997-01-11,00:00:00.00,0.331291,0,0,0,582.358
13252,1997-01-12,00:00:00.00,0.331291,0,0,0,582.358
13253,1997-01-13,00:00:00.00,0.331291,0,0,0,582.358
13254,1997-01-14,00:00:00.00,0.331291,0,0,0,582.358
13255,1997-01-15,00:00:00.00,0.331291,0,0,0,582.358
13256,1997-01-16,00:00:00.00,0.331291,0,0,0,582.358
13257,1997-01-17,00:00:00.00,0.331291,0,0,0,582.358
13258,1997-01-18,00:00:00.00,0.331291,0,0,0,582.358
13259,1997-01-19,00:00:00.00,0.331291,0,0,0,582.358
13260,1997-01-20,00:00:00.00,0.492268,0,0,0,582.358
13261,1997-01-21,00:00:00.00,0.331291,0,0,0,582.358
13262,1997-01-22,00:00:00.00,0.331291,0,0,0,582.358
13263,1997-01-23,00:00:00.00,0.331291,0,0,0,582.358
13264,1997-01-24,00:00:00.00,0.331291,0,0,0,582.358
13265,1997-01-25,00:00:00.00,0.331291,0,0,0,582.358
13266,1997-01-26,00:00:00.00,0.331291,0,0,0,582.358
13267,1997-01-27,00:00:00.00,0.331291,0,0,0,582.358
13268,1997-01-28,00:00:00.00,0.331291,0,0,0,582.358
13269,1997-01-29,00:00:00.00,0.331291,0,0,0,582.358
13270,1997-01-30,00:00:00.00,0.331291,0,0,0,582.358
13271,1997-01-31,00:00:00.00,0.331291,0,0,0,582.358
13272,1997-02-01,00:00:00.00,0.331291,0,0,0,582.358
13273,1997-02-02,00:00:00.00,0.331291,0,0,0,582.358
13274,1997-02-03,00:00:00.00,0.331291,0,0,0,582.358
13275,1997-02-04,00:00:00.00,0.331291,0,0,0,582.358
13276,1997-02-05,00:00:00.00,0.331291,0,0,0,582.358
13277,1997-02-06,00:00:00.00,0.331291,0,0,0,582.358
