time[d],date,hour,debug1,debug2,debug3,debug4,debug5
36,1960-11-06,00:00:00.00,0.639174,0,0,0,1228.55
37,1960-11-07,00:00:00.00,0.639174,0,0,0,1228.55
38,1960-11-08,00:00:00.00,0.639174,0,0,0,1228.55
39,1960-11-09,00:00:00.00,0.639174,0,0,0,1228.55
40,1960-11-10,00:00:00.00,0.639174,0,0,0,1228.55
41,1960-11-11,00:00:00.00,0.639174,0,0,0,1228.55
42,1960-11-12,00:00:00.00,0.639174,0,0,0,1228.55
43,1960-11-13,00:00:00.00,0.639174,0,0,0,1228.55
44,1960-11-14,00:00:00.00,0.639174,0,0,0,1228.55
45,1960-11-15,00:00:00.00,0.639174,0,0,0,1228.55
46,1960-11-16,00:00:00.00,0.639174,0,0,0,1228.55
47,1960-11-17,00:00:00.00,0.639174,0,0,0,1228.55
48,1960-11-18,00:00:00.00,0.639174,0,0,0,1228.55
49,1960-11-19,00:00:00.00,0.639174,0,0,0,1228.55
50,1960-11-20,00:00:00.00,0.639174,0,0,0,1228.55
51,1960-11-21,00:00:00.00,0.639174,0,0,0,1228.55
52,1960-11-22,00:00:00.00,0.639174,0,0,0,1228.55
53,1960-11-23,00:00:00.00,0.639174,0,0,0,1228.55
54,1960-11-24,00:00:00.00,0.639174,0,0,0,1228.55
55,1960-11-25,00:00:00.00,0.639174,0,0,0,1228.55
56,1960-11-26,00:00:00.00,0.639174,0,0,0,1228.55
57,1960-11-27,00:00:00.00,0.639174,0,0,0,1228.55
58,1960-11-28,00:00:00.00,0.639174,0,0,0,1228.55
59,1960-11-29,00:00:00.00,0.639174,0,0,0,1228.55
60,1960-11-30,00:00:00.00,0.639174,0,0,0,1228.55
61,1960-12-01,00:00:00.00,0.639174,0,0,0,1228.55
62,1960-12-02,00:00:00.00,0.639174,0,0,0,1228.55
63,1960-12-03,00:00:00.00,0.639174,0,0,0,1228.55
64,1960-12-04,00:00:00.00,0.639174,0,0,0,1228.55
65,1960-12-05,00:00:00.00,0.639174,0,0,0,1228.55
66,1960-12-06,00:00:00.00,0.639174,0,0,0,1228.55
67,1960-12-07,00:00:00.00,0.639174,0,0,0,1228.55
68,1960-12-08,00:00:00.00,0.639174,0,0,0,1228.55
69,1960-12-09,00:00:00.00,0.639174,0,0,0,1228.55
70,1960-12-10,00:00:00.00,0.639174,0,0,0,1228.55
71,1960-12-11,00:00:00.00,0.639174,0,0,0,1228.55
72,1960-12-12,00:00:00.00,0.639174,0,0,0,1228.55
73,1960-12-13,00:00:00.00,0.639174,0,0,0,1228.55
74,1960-12-14,00:00:00.00,0.639174,0,0,0,1228.55
75,1960-12-15,00:00:00.00,0.639174,0,0,0,1228.55
76,1960-12-16,00:00:00.00,0.639174,0,0,0,1228.55
77,1960-12-17,00:00:00.00,0.639174,0,0,0,1228.55
78,1960-12-18,00:00:00.00,0.639174,0,0,0,1228.55
79,1960-12-19,00:00:00.00,0.639174,0,0,0,1228.55
80,1960-12-20,00:00:00.00,0.639174,0,0,0,1228.55
81,1960-12-21,00:00:00.00,0.639174,0,0,0,1228.55
82,1960-12-22,00:00:00.00,0.639174,0,0,0,1228.55
83,1960-12-23,00:00:00.00,0.639174,0,0,0,1228.55
84,1960-12-24,00:00:00.00,0.639174,0,0,0,1228.55
85,1960-12-25,00:00:00.00,0.639174,0,0,0,1228.55
86,1960-12-26,00:00:00.00,0.639174,0,0,0,1228.55
87,1960-12-27,00:00:00.00,0.639174,0,0,0,1228.55
88,1960-12-28,00:00:00.00,0.639174,0,0,0,1228.55
89,1960-12-29,00:00:00.00,0.639174,0,0,0,1228.55
90,1960-12-30,00:00:00.00,0.639174,0,0,0,1228.55
91,1960-12-31,00:00:00.00,0.639174,0,0,0,1228.55
92,1961-01-01,00:00:00.00,0.639174,0,0,0,1228.55
93,1961-01-02,00:00:00.00,0.639174,0,0,0,1228.55
94,1961-01-03,00:00:00.00,0.639174,0,0,0,1228.55
95,1961-01-04,00:00:00.00,0.639174,0,0,0,1228.55
96,1961-01-05,00:00:00.00,0.639174,0,0,0,1228.55
